Reference Number,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
135,31K1618,2,2000,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,27,Car
136,31L0241,1,815,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,16,M/cycle 50cc and under
137,31L0274,1,845,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,52,Car
138,31L0335,1,934,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,33,Car
139,31L0756,2,1430,A,Wet / Damp,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,62,Car
140,31L0811,1,1505,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,12,Car
141,31L1040,1,1708,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,43,Car
142,31L1163,2,1807,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Serious,Male,22,Car
143,31L1270,2,1910,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,64,Car
144,31L1270,2,1910,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,15,Car
145,31M0236,2,815,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,51,Car
146,31M0925,1,1552,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
147,31M1173,2,1746,Unclassified,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,21,Pedal cycle
148,31M1189,2,1800,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,15,Pedal cycle
149,31N1341,2,1900,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,25,Car
150,31N1341,2,1900,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,21,Car
151,31N1341,2,1900,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,33,Car
152,31N1501,1,2035,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,42,Car
153,31N1522,1,2046,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Serious,Male,25,Car
